Date,Open,High,Low,Close,Adj Close,Volume
1999-05-11,70,71.1875,69.5,70.625,55.668247,1839800
1999-05-12,71,74.875,69.125,73.5,57.934387,2659300
1999-05-13,73.25,75.25,72.5,73.1875,57.688076,1142900
1999-05-14,71.25,72.25,69.0625,70.1875,55.323395,2058400
1999-05-17,69.125,70.25,68,68.625,54.091808,2075000
1999-05-18,68.25,70.4375,68.125,68.625,54.091808,1407100
1999-05-19,69.375,69.8125,68.75,69.3125,54.633686,727400
1999-05-20,69.5625,70.125,68.375,68.375,53.894749,520800
1999-05-21,68.125,68.8125,67.5,67.5,53.205048,936200
1999-05-24,67,67.25,65,65.3125,51.480816,1493000
1999-05-25,64.125,65.9375,64,64.5,50.840382,1662400
1999-05-26,65.625,66.625,63.0625,66.0625,52.071991,1602900
1999-05-27,65,67.75,64.6875,67.75,53.402103,1220500
1999-05-28,67.75,68.8125,67,67.9375,53.549885,901900
1999-06-01,66.625,66.625,63.5625,64.1875,50.594078,953900
1999-06-02,63.75,64.0625,62,63.25,49.855118,2204300
1999-06-03,64,64.1875,63.125,63.625,50.150673,852600
1999-06-04,64.3125,67,64.3125,65.375,51.530079,1357400
1999-06-07,65.1875,67.75,65.1875,65.9375,51.973465,891900
1999-06-08,65.375,65.6875,63.75,63.75,50.24921,571700
1999-06-09,64.25,65.5,63.625,65.5,51.628616,611400
1999-06-10,64.875,64.9375,63.3125,63.375,49.953636,664200
1999-06-11,63.9375,64.3125,62.3125,63.25,49.855118,969300
1999-06-14,63.5,64,60.5,61.25,48.278667,821100
1999-06-15,62.875,63.375,62.25,62.75,49.460972,831700
1999-06-16,63.9375,65.4375,63.9375,65.25,51.431549,690300
1999-06-17,64.5,66.875,64.5,65,51.234486,955700
1999-06-18,64.25,64.875,63.5,64.8125,51.086712,613900
1999-06-21,66.6875,69.9375,66.5625,69.5,54.781467,1811000
1999-06-22,70.125,70.125,67.75,68,53.599163,1165900
1999-06-23,67.0625,67.4375,64.875,65,51.234486,1351700
1999-06-24,66.0625,66.5,64.5,65.0625,51.283752,1408900
1999-06-25,65.5,66.8125,65.375,66.25,52.219772,1111500
1999-06-28,66.4375,67.5,65.75,66.5625,52.466114,784600
1999-06-29,66,68.5,66,67.75,53.402103,629800
1999-06-30,68.5,72.25,66.125,72.25,56.949104,2127600
1999-07-01,71.375,71.4375,69.75,70.8125,55.816017,813600
1999-07-02,70.5625,71.1875,69.6875,70.9375,55.91457,536900
1999-07-06,70,71.1875,69.25,70.5,55.569736,747600
1999-07-07,69.5625,70,68,68,53.599163,648800
1999-07-08,68,68.875,67.1875,67.25,53.008007,424400
1999-07-09,67.4375,68.1875,67.25,67.25,53.008007,312700
1999-07-12,68,68.9375,67.875,68.375,53.894749,547700
1999-07-13,68.25,68.6875,67.625,67.875,53.500652,969600
1999-07-14,67.375,67.75,67.3125,67.625,53.303574,888200
1999-07-15,68,68,67.5,67.9375,53.549885,864700
1999-07-16,67.75,68.75,67.75,68.0625,53.64843,476700
1999-07-19,68.25,70.75,68.25,69.4375,54.732231,646100
1999-07-20,69.125,70.4375,67.875,68.125,53.697701,886100
1999-07-21,68,68.0625,67.125,67.875,53.500652,626100
1999-07-22,68.125,68.25,66.5,66.5,52.416836,579500
1999-07-23,66.375,66.375,64,64.0625,50.495544,767200
1999-07-26,64.25,64.75,63.1875,63.25,49.855118,749500
1999-07-27,64.25,65.75,63.3125,65.5,51.628616,592200
1999-07-28,65.25,66.375,64,66.0625,52.071991,584800
1999-07-29,65.5,65.5,64.5,65,51.234486,646000
1999-07-30,65,65,63.625,64.3125,50.692596,629600
